0	2
0	3
0	4
0	11
0	13
0	17
0	19
0	20
0	23
0	24
0	25
0	26
0	27
0	29
0	31
0	32
0	33
0	34
0	37
0	38
0	40
0	43
0	45
0	49
0	55
0	56
0	59
0	65
0	66
0	68
0	69
0	71
0	72
3	7
3	11
3	14
3	15
3	17
3	18
3	19
3	22
3	23
3	24
3	31
3	32
3	34
3	37
3	38
3	40
3	43
3	45
3	47
3	48
3	55
3	56
3	58
3	60
3	62
3	64
3	68
3	69
3	72
5	2
5	4
5	11
5	15
5	26
5	34
5	48
5	49
5	50
5	51
5	54
5	55
5	57
5	61
5	63
5	66
5	68
5	69
5	70
8	14
8	18
8	29
8	62
8	68
11	0
11	2
11	3
11	4
11	5
11	6
11	7
11	9
11	14
11	15
11	17
11	18
11	19
11	20
11	23
11	24
11	26
11	28
11	29
11	30
11	31
11	32
11	34
11	35
11	37
11	38
11	40
11	44
11	45
11	48
11	49
11	50
11	51
11	52
11	53
11	55
11	56
11	58
11	59
11	60
11	62
11	63
11	65
11	66
11	68
11	69
11	71
11	72
12	2
12	6
12	15
12	19
12	21
12	26
12	34
12	37
12	44
12	48
12	49
12	63
12	66
12	72
14	2
14	3
14	4
14	5
14	7
14	8
14	9
14	11
14	12
14	15
14	17
14	18
14	19
14	20
14	21
14	22
14	23
14	26
14	27
14	28
14	29
14	30
14	32
14	34
14	36
14	37
14	39
14	40
14	43
14	46
14	47
14	48
14	49
14	50
14	51
14	52
14	53
14	55
14	60
14	62
14	63
14	65
14	66
14	67
14	68
14	69
14	70
14	72
15	2
15	4
15	5
15	6
15	9
15	11
15	12
15	14
15	17
15	19
15	20
15	21
15	22
15	23
15	26
15	29
15	30
15	31
15	34
15	35
15	40
15	44
15	45
15	46
15	48
15	49
15	50
15	51
15	53
15	54
15	57
15	61
15	62
15	63
15	66
15	67
15	68
15	70
15	71
15	72
21	2
21	3
21	4
21	5
21	6
21	9
21	12
21	14
21	15
21	16
21	17
21	19
21	26
21	29
21	34
21	35
21	37
21	44
21	48
21	49
21	51
21	53
21	57
21	59
21	61
21	63
21	66
21	70
21	72
22	3
22	6
22	7
22	9
22	14
22	17
22	21
22	23
22	24
22	30
22	31
22	32
22	34
22	37
22	39
22	40
22	45
22	46
22	47
22	55
22	56
22	58
22	61
22	62
22	63
22	65
22	66
22	67
22	69
22	71
23	0
23	9
23	11
23	14
23	15
23	17
23	19
23	20
23	22
23	25
23	29
23	30
23	31
23	33
23	34
23	36
23	37
23	40
23	43
23	46
23	52
23	55
23	56
23	62
23	66
23	67
23	68
23	71
26	1
26	2
26	3
26	4
26	5
26	6
26	8
26	11
26	12
26	14
26	15
26	16
26	18
26	19
26	21
26	23
26	29
26	33
26	34
26	35
26	37
26	40
26	44
26	46
26	48
26	49
26	50
26	51
26	52
26	53
26	57
26	61
26	63
26	66
26	68
26	70
26	72
27	5
27	12
27	14
27	17
27	19
27	21
27	34
27	45
27	46
27	49
27	62
27	63
27	66
28	11
28	14
28	29
28	30
28	32
28	39
28	40
28	51
28	55
28	69
29	1
29	2
29	4
29	5
29	6
29	8
29	9
29	10
29	11
29	13
29	14
29	15
29	16
29	18
29	19
29	21
29	23
29	24
29	25
29	26
29	28
29	30
29	31
29	32
29	34
29	36
29	37
29	39
29	40
29	44
29	45
29	47
29	48
29	49
29	50
29	51
29	53
29	55
29	56
29	57
29	58
29	59
29	61
29	62
29	63
29	65
29	66
29	67
29	68
29	69
29	70
29	71
29	72
30	7
30	11
30	14
30	15
30	22
30	24
30	27
30	28
30	29
30	32
